id	nome
5848	NETAFIM BRASIL SISTEMAS E EQUIPAMENTOS DE IRRIGACAO LTDA.
5893	GRANCAR DE VOLTA REDONDA AUTO MECANICA LTDA
6010	SETER - SERVICOS DE ENGENHARIA, TELEFONIA E REPRESENTACOES LTDA - ME
6051	VISOMES COMERCIAL METROLOGICA LTDA - EPP
6061	PONTUAL AUTO LOCADORA LTDA
6080	AMATO PAISAGISMO LTDA - EPP
6084	TEREVIG VIGILANCIA E SEGURANCA LTDA - ME
6102	ALTERNATIVA ADMINISTRADORA DE SERVICOS TERCEIRIZADOS DE LIMPEZA LTDA - ME
6185	RENATO R BATISTA - EPP
6259	APARECIDA DE FATIMA MOREIRA DOS PASSOS DISTRIBUIDORA
6267	VIA ENGENHARIA S. A.
6283	ODEBRECHT AMBIENTAL - LIMEIRA S.A.
6388	VISAOTEL DA AMAZONIA TELECOMUNICACOES LTDA - ME
6444	ELLITE INDUSTRIA GRAFICA EDITORA E COMERCIO LTDA - EPP
6457	INOVE ENGENHARIA TERMICA LTDA - EPP
6468	P.K.L. INFORMATICA LTDA
6478	SORENAV ESTALEIRO DE CONSTRUCAO E REPAROS NAVAIS LTDA
6515	TRIVALE ADMINISTRACAO LTDA
6517	ENGESPRO ENGENHARIA LTDA
6547	WILSON INFORMATICA E CONSULTORES ASSOCIADOS LTDA - ME
6551	COHF - CLINICA DE OLHOS HOLANDA DE FREITAS EIRELI
6573	SISTERM COMERCIO E INSTALACAO DE AR CONDICIONADO LTDA - ME
6581	APOIO INFORMATICA LTDA - EPP
6704	AQUARIUS SBC EDITORA GRAFICA LTDA
6724	SENA SEGURANCA INTELIGENTE LTDA
6734	SENA SEGURANCA INTELIGENTE E TRANSPORTE DE VALORES LTDA
6790	BRAGANCA ENGENHARIA LTDA - EPP
6797	POLICENTRO TECNOLOGIA DA INFORMACAO LTDA
6811	FUNDACAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA
6826	SOLTEC ENGENHARIA LTDA
6845	INFORMOBILE INDUSTRIA E COMERCIO DE MOVEIS LTDA
6849	TEIXEIRA GRAFICA E EDITORA LTDA
6854	ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECNOLOGICA E INOVACAO
6891	TECCON S/A CONSTRUCAO E PAVIMENTACAO
6913	FURTADO & SCHMIDT SISTEMAS E EQUIPAMENTOS TOPOGRAFICOS LTDA - EPP
6984	APAE ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DO DF
7029	PNEULINHARES COMERCIO DE PNEUS LTDA
7118	SENENGE CONSTRUCAO CIVIL E SERVICOS LTDA
7124	AVECORDIA COMERCIO DE EQUIPAMENTOS LTDA - EPP
7142	AGRIESTUFA INDUSTRIA E COMERCIO LTDA
7143	CONSTRUTORA SAB LTDA
7154	PALMACEA JARDINS LTDA - ME
7155	INTERIOR SERVICOS DE CONSTRUCOES LTDA - ME
7156	CLL ENGENHARIA E EMPREENDIMENTOS LTDA - EPP
7158	HEBTA ENGENHARIA LTDA - EPP
7174	LIFE TECNOLOGIA E CONSULTORIA LTDA - ME
7201	SOS SISTEMAS DE ALARME LTDA - EPP
7231	NASTEC SERVICOS MATERIAIS E MAQUINAS LTDA
7232	BRONDANI AUTO PECAS LTDA - EM RECUPERACAO JUDICIAL - EPP
7239	EFICACIA ORGANIZACAO LTDA - ME
7304	ILSOLON PEDROSO DE MORAIS - ME
7321	POSTO LEAO DA ILHA LTDA
7356	J & V. FUNERARIA LTDA - ME
7381	DRIVE A INFORMATICA LTDA
7393	TECNICA CONSTRUCAO COMERCIO E INDUSTRIA LTDA
7410	CAFE EXPORT INDUSTRIA E COMERCIO LTDA
7424	MINERAL COMERCIO DE AGUAS LTDA EPP  - ME
7463	HOSPITAL LAR COMERCIO LOCACAO IMPORTACAO E EXPORTACAO L
7515	NORTELE NORTE TELECOMUNICACOES LTDA
7521	MULTIFONO CLINICA LTDA - ME
7543	UNIBENS PLANEJAMENTO,CONSTRUTORA,INCOR E IMOBILIARIA LT
7566	PERTINA LOGISTICA EIRELI - EPP
7604	DIONEIA ACORCI MINUZZI  - ME
7714	START UP COMERCIO E SERVICOS LTDA  - ME
7736	ALLEN RIO SERV. E COM. DE PROD. DE INFORMATICA LTDA
7737	ALLEN RIO SERV. E COM. DE PROD. DE INFORMATICA LTDA
7800	TECONTEL LTDA - ME
7855	2 ALIANCAS ARMAZENS GERAIS LTDA
7892	DISTRIBUIDORA IGARAPE LTDA
7896	HEMOIN - PRODUTOS PARA BIOTERIOS LTDA - ME
7897	BRASILIA MEDICO HOSPITALAR LTDA - EPP
7926	CAFE FORTE INDUSTRIA E COMERCIO LTDA
7951	MATRIZ FOTOGRAVURA LTDA - ME
7963	ENGEVIG COMERCIO E SERVICOS LTDA - ME
7972	SPOT REPRESENTACOES E SERVICOS LTDA
